filename,Rice_or_chips,Diet,Cuisine_org,Cuisine,Dish_name,Home_or_restaurant,Ingredients,Healthiness_rating,Healthiness_rating_int,Likeness,Likeness_int,Benchmark_A
000040.jpg,Rice,non_vegetarian,indian,indian,chicken_biryani,restaurant,"rice,chicken,potatos_and_spicy,",neutral,3.0,strongly_like,5.0,Test
000044.jpg,Rice,vegan,indian,indian,mixed_vegetable_fried_rice,home,"rice,onion,carrot,red_bell_pepper,garlic,vegetable_oil,salt,pepper",healthy,4.0,dislike,2.0,Train
000045.jpg,Rice,non_vegetarian,thai,thai,thai_green_curry,home,"coconut_milk,green_curry_paste,palm_sugar,fish_sauce,kaffir_lime_leaves,thai_basil,chicken,rice",very_healthy,5.0,strongly_like,5.0,Test
000054.jpg,Rice,vegetarian,south_indian,south_indian,rice_sambhar,home,"rice,sambhar_spices,chilli,tomato,channa_dal",healthy,4.0,strongly_like,5.0,Train
000056.jpg,Rice,non_vegetarian,italian,italian,rice_and_beef_meatballs,home,"beef_mince,tomato_sauce,white_long_grain_rice",healthy,4.0,like,4.0,Test
000058.jpg,Rice,non_vegetarian,chinese,chinese,braised_beef_brisket_on_rice,dandan_noodle_restaurant,"beef_brisket,rice,red_chillies,green_chillies,spring_onions,yuba",neutral,3.0,strongly_like,5.0,Test
000066.jpg,Rice,vegan,indian,indian,rice_with_rasam,home,"rice,tamarind,tomato,indian_spices,greens",very_healthy,5.0,like,4.0,Test
000068.jpg,Rice,vegetarian,egyptian,egyptian,alexandrian_koshari,home,"rice,yellow_lentils",very_healthy,5.0,strongly_like,5.0,Train
000070.jpg,Rice,vegetarian,indian,indian,rice_with_potato_curry,home,"rice,potatoes,curry_sauce",healthy,4.0,strongly_like,5.0,Test
000075.jpg,Rice,non_vegetarian,indian,indian,rice_and_lamb_curry,home,"rice,lamb,coconut_milk,chilli,garlic_paste,curry_leaves,turmeric_powder",neutral,3.0,dislike,2.0,Test
000078.jpg,Rice,vegetarian,indian,indian,rice_with_broccoli_masala,home,"brown_rice,broccoli_florets,tomato,onion,ginger,garlic,cilantro,salt,turmeric_powder,chilli_powder,coriander_powder,sunflower_oil",very_healthy,5.0,like,4.0,Train
000096.jpg,Chips,non_vegetarian,english,english,"fish_burger,chips,onion_rings",home,"cod_fillets,panko_bread_crumbs,onions,potatoes,bread,lettace,mayonaise,ketchup,salt,oil",unhealthy,2.0,like,4.0,Train
000103.jpg,Rice,non_vegetarian,jordan,jordan,mansaf,home,"lamb,rice,cinnamon_stick,bay_leaves,clove,salt,red_pepper_powder,sunflower_oil",neutral,3.0,strongly_like,5.0,Train
000106.jpg,Rice,non_vegetarian,indian,indian,podi_rice_with_omlette,home,"for_podi_rice:_podi_(spice_powder),cooked_rice,ghee_or_oil,mustard_seeds,urad_dal,chana_dal,peanuts,asafoetida_(hing),salt._for_omelette:_eggs,salt,pepper,cooking_oil_or_butter",neutral,3.0,neutral,3.0,Train
000107.jpg,Chips,vegetarian,english,english,sandwich_with_potatos_fries,home,"bread,potato,tomato,onion,spices,potato_fries",unhealthy,2.0,strongly_like,5.0,Test
000109.jpg,Rice,non_vegetarian,indo-chinese,indo_chinese,indo-chinese_meal,ymca_indian_restaurant,"rice,carrot,peas,corn,chicken,cauliflower,bell_pepper,onion,sugar,mint,lemon",healthy,4.0,like,4.0,Train
000111.jpg,Rice,vegetarian,indian,indian,steamed_rice_cake(_kerala_puttu)_with_greengram_curry,home,"rice_flour,coconut,salt,moong_bean(green_gram),onion,ginger,turmeric_powder,green_chilli",very_healthy,5.0,like,4.0,Train
000113.jpg,Rice,non_vegetarian,indo-chinese,indo_chinese,egg_fried_rice,home,"eggs,white_rice,spices,green_chillis,oil,pepper",neutral,3.0,strongly_like,5.0,Train
000116.jpg,Rice,non_vegetarian,indian,indian,butter_chicken_with_rice,home,"for_butter_chicken:_chicken_pieces,yogurt,ginger-garlic_paste,red_chili_powder,garam_masala,turmeric_powder,lemon_juice,cooking_oil,butter,onions,tomatoes,cashew_nuts,fresh_cream,kasuri_methi_(dried_fenugreek_leaves),salt,water._for_rice:_rice,water,salt",healthy,4.0,dislike,2.0,Train
000122.jpg,Rice,vegetarian,south_indian,south_indian,rice_rasam,home,"rice,tomato,rasam_powder,spices",healthy,4.0,strongly_like,5.0,Train
000125.jpg,Rice,vegetarian,indian,indian,dal_rice,home,"dal,rice,oil,onion,spices",very_healthy,5.0,neutral,3.0,Train
000128.jpg,Rice,non_vegetarian,indian,indian,egg_biryani,home,"egg,rice,chilli_powder,onion,tomato,ginger_garlic_paste",healthy,4.0,strongly_like,5.0,Train
000130.jpg,Rice,vegan,indian,indian,boiled_rice,home,"water,basmati_rice,salt",very_healthy,5.0,like,4.0,Train
000134.jpg,Rice,non_vegetarian,indian,indian,biryani,restaurant,"rice,spices,chicken",neutral,3.0,like,4.0,Test
000135.jpg,Rice,vegetarian,indian,indian,fried_rice,home,"rice,mustard_seeds,grated_coconut,red_chilli",neutral,3.0,neutral,3.0,Train
000136.jpg,Rice,vegetarian,indian,indian,"rice_with_plain_lentil_soup,stir_fried_radish_leaves_and_salad",home,"rice,pigeon_peas,salt,turmeric,radish_green_leaves,garlic,ginger,green_chili,carrot,cucumber,radish,",healthy,4.0,like,4.0,Test
000141.jpg,Chips,non_vegetarian,american,american,spicy_chicken_burger_meal,restaurant,"bun,lettuce,chicken_chops,french_fries,sloppy_joes,chicken_nuggets",unhealthy,2.0,strongly_like,5.0,Train
000142.jpg,Chips,non_vegetarian,british,british,chicken_pasta,the_curve,"chicken,cheese,pasta,potato,cabbage,spinach",healthy,4.0,like,4.0,Test
000143.jpg,Rice,vegetarian,fusion_(indian-thai),indian_thai_fusion,paneer_thai_fried_rice,restaurant,"cooked_rice,paneer,vegetables,thai_seasonings",healthy,4.0,like,4.0,Test
000156.jpg,Rice,non_vegetarian,portuguese_and_british_culture,portuguese_and_british_culture,1/4_chicken_meal,restaurant,"chilli,rice,peri_peri_extra_hot_chicken",healthy,4.0,strongly_like,5.0,Train
000160.jpg,Chips,non_vegetarian,english,english,grilled_chicken_wings_and_chips,restaurant,"1/2_chicken,olive_oil,salt,pepper,herbs/spices,lemon_juice",healthy,4.0,dislike,2.0,Train
000166.jpg,Rice,non_vegetarian,indian,indian,egg_curry,home,"rice,eggs,tomato,onion,garlic,ginger,curd,water",healthy,4.0,like,4.0,Train
000167.jpg,Rice,vegan,indian,indian,mix_lentils_&_rice,home,"lentils,olive_oil,spices,garlic,butter,green_vegs_&_rice",healthy,4.0,like,4.0,Train
000173.jpg,Rice,non_vegetarian,indian,indian,fish_biriyani,restaurant,"fish_fillets,rice,onion,tomato,ginger,garlic,turmeric_powder,chilli_powder,coriander_powder,garammasala_powder,greenchilli,mint_leaves_and_oil",unhealthy,2.0,like,4.0,Train
000182.jpg,Rice,non_vegetarian,mexican,mexican,chicken_fajita_rice_bowl,home,"rice,onion,chicken_breast,pepper,sweetcorn,paprika,garlic,olive_oil,cumin,chilli_powder,chicken_stock",healthy,4.0,like,4.0,Test
000183.jpg,Rice,vegetarian,indian,indian,rice_with_carrot_and_beans_thoran,home,"rice,carrot,beans,coconut,onion,green_chilli,chilli_powder,turmeric_powder,corriander_powder_and_oil",healthy,4.0,strongly_like,5.0,Train
000185.jpg,Rice,non_vegetarian,chinese,chinese,one_pot_chicken_and_rice,home,"chicken_thighs,rice,onion_powder,garlic_powder,butter,mixed_herbs,salt,black_pepper,sunflower_oil",neutral,3.0,like,4.0,Test
000186.jpg,Rice,vegan,chinese,chinese,steamed_rice,home,rice,neutral,3.0,like,4.0,Test
000194.jpg,Chips,non_vegetarian,british,british,chicken_burger_and_chips,restaurant,"burger_bread,chicken_breast,cheddar_cheese,ketchup,mayonnaise,potato,salt,pepper",unhealthy,2.0,like,4.0,Train
000197.jpg,Chips,non_vegetarian,american,american,spicy_chicken_burger_with_chips,restaurant,"chicken,chips,cheese,bacon,buns,lettuce,tomato",unhealthy,2.0,like,4.0,Train
000198.jpg,Rice,non_vegetarian,indian,indian,rice_with_egg_curry,home,"egg,rice,onion,tomato,ginger_garlic_paste,spices,oil",healthy,4.0,like,4.0,Train
000201.jpg,Rice,vegetarian,indian,indian,veg_biryani_and_curd,home,"rice,spices,salt,oil,corriander,curd,onion,cauliflower",neutral,3.0,like,4.0,Train
000203.jpg,Rice,vegan,indian,indian,rice_with_potato_curry,home,"boiled_rice,potato,chilli_powder,ginger,garlic,turmeric_powder,salt,onion,sunflower_oil,green_chilli",healthy,4.0,dislike,2.0,Train
000208.jpg,Rice,vegetarian,south-indian,south_indian,pongal_with_coconut_chutney,home,"rice,coconut,coriander_leaves,fried_gram,ginger,green_chillies,cumin,oil,cashews",healthy,4.0,strongly_like,5.0,Train
000216.jpg,Rice,non_vegetarian,indo-chinese,indo_chinese,chicken_chilly_and_rice,home,"onion,bell_peppers,green_chillis,white_rice,chicken,oil,all_purpose_flour,corn_flour",unhealthy,2.0,strongly_like,5.0,Train
000217.jpg,Rice,non_vegetarian,japanese,japanese,crispy_salmon_rolls,sainsbury,"cooked_rice,salmon,sweet_teriyaki_sauce,avocado,crispy_onion,lettuce,salt,mayonnaise",very_healthy,5.0,strongly_like,5.0,Train
000219.jpg,Rice,non_vegetarian,british,british,fish_and_chips,harper's_steakhouse_weighbridge,"beer_battered_haddock,minted_peas,tartare_sauce",neutral,3.0,like,4.0,Train
000233.jpg,Rice,non_vegetarian,indian,indian,spicy_lamb_biriyani,home,"lamb,rice,salt,turmeric_powder,chilli_powder,ginger_paste,garlic_paste,onion,cumin_powder,coriander_powder,oil",unhealthy,2.0,strongly_like,5.0,Train
000234.jpg,Rice,vegetarian,indian,indian,poha,home,"flattened_rice,potato,tomato,onions,groundnuts",very_healthy,5.0,strongly_like,5.0,Test
000235.jpg,Chips,non_vegetarian,portuguese,portuguese,chicken_wrap_and_chips,restaurant,"tortilla,chicken_strips,lettuce,mayonnaise,lemon_and_herb_sauce,chips",neutral,3.0,neutral,3.0,Test
000243.jpg,Rice,non_vegetarian,american,american,buttermilk_fried_chicken_and_rice,home,"chicken,flower,spices,rice,butter,peppers,buttermilk,salt,corn,lime,cucumber,lettuce",healthy,4.0,strongly_like,5.0,Train
000250.jpg,Rice,vegan,indian,indian,potato_onion_curry,home,"potato,onion,turmeric_powder,chilli_powder,tomato,magic_masala,rapeseed_oil,salt,pepper",healthy,4.0,dislike,2.0,Train
000253.jpg,Rice,non_vegetarian,south_asian,south_asian,"chicken_pieces,vegetables_and_rice",home,"rice,onion,vegetable_oil,salt,vitamins",very_healthy,5.0,strongly_like,5.0,Test
000264.jpg,Rice,non_vegetarian,chinese,chinese,egg_chicken_fried_rice,home,"rice,egg,chicken,oil,black_pepper,salt",healthy,4.0,strongly_like,5.0,Train
000265.jpg,Chips,vegetarian,indian,indian,sandwich_with_fries,home,"bread,onions,tomatoes,frozen_fries,sauce",neutral,3.0,strongly_like,5.0,Test
000275.jpg,Rice,non_vegetarian,korean,korean,pork_with_spicy_cabbage,home,"pork,kimchi",neutral,3.0,neutral,3.0,Train
000282.jpg,Rice,non_vegetarian,indian,indian,chicken_curry_rice,home,"chicken,yoghurt,onion,tomato,turmeric_powder,red_chilli_powder,dried_fenugreek_leaves,rice",healthy,4.0,strongly_like,5.0,Test
000286.jpg,Rice,non_vegetarian,chinese,chinese,fried_rice_tossed_with_scrambled_eggs,home,"oil,onion,capsicum,carrot,egg,soy_sauce,vinegar,salt,pepper,",healthy,4.0,strongly_like,5.0,Train
000289.jpg,Rice,non_vegetarian,indian,indian,chicken_pulao,home,"white_rice,chicken,oil,onion,ginger_garlic_paste,spices,black_pepper",neutral,3.0,strongly_like,5.0,Test
000291.jpg,Rice,non_vegetarian,nigerian,nigerian,rice_and_turkey,home,"rice,palm_oil,sunflower_oil,tomatoes,thyme,garlic,maggi,curry_powder,chilli_pepper,chicken_stock,salt,turkey",neutral,3.0,strongly_like,5.0,Train
000297.jpg,Rice,non_vegetarian,peruvian,peruvian,fried_rice,home,"vegetable_oil,ginger,chicken,white_rice,soy_sauce,egg,sesame_oil,salt,pepper",neutral,3.0,strongly_like,5.0,Train
000299.jpg,Rice,vegetarian,indian,indian,toor_daal_khichdi_and_kadi,home,"rice,toor_dal,potato,yogurt,spices",healthy,4.0,like,4.0,Train
000301.jpg,Chips,non_vegetarian,british_staple,british,fish_and_chips,old_building-lse,"haddock,potatoes,oil,flour,salt,peas,mayonnaise",unhealthy,2.0,strongly_like,5.0,Test
000305.jpg,Rice,vegetarian,indian,indian,potato_cauliflower_with_rice,home,"rice,potato,cauliflower",healthy,4.0,neutral,3.0,Test
000308.jpg,Chips,vegan,american,american,french_fries,restaurant,"potatoes,salt,cajun_seasoning",very_unhealthy,1.0,strongly_like,5.0,Test
000310.jpg,Rice,non_vegetarian,thai,thai,chicken_curry_with_rice,home,"chicken,potato,peppers,green_beans,tumeric,onion,tomato_puree",healthy,4.0,strongly_like,5.0,Train
000313.jpg,Rice,vegan,indian,indian,rice_with_pav,home,"potato,carrot,tomato,spinach,dried_methi_leaves,spices",very_healthy,5.0,like,4.0,Train
000314.jpg,Rice,vegetarian,chinese,chinese,stir_fried_vegetables_in_teriyaki_sauce_with_rice,home,"rice,cabbage,beans,red_onion,coriander,carrot,bell_peppers,brocolli,garlic,spring_onion,brown_sugar,soy_sauce,ginger,vinegar,cornflour,honey,indian_paneer",healthy,4.0,like,4.0,Train
000316.jpg,Chips,non_vegetarian,english,english,grilled_chicken_strips_and_chips,restaurant,"chicken_breast,olive_oil,salt,pepper,herbs/spices,lemon_juice",healthy,4.0,neutral,3.0,Train
000317.jpg,Rice,vegetarian,indian,indian,lemon_rice,home,"rice,oil,coriander_leaves,neem_leaves,lemon,green_chilly,salt",healthy,4.0,like,4.0,Train
000318.jpg,Rice,non_vegetarian,chinese,chinese,fried_rice,home,"cooked_rice,vegetable_oil,diced_cooked_meat,eggs,soy_sauce,salt_and_pepper,green_oinion_corn",neutral,3.0,strongly_like,5.0,Test
000320.jpg,Rice,non_vegetarian,indian,indian,mutton_biryani,resturant,"rice,mutton,green_chilli,biryani_masala,onions,garlic",neutral,3.0,like,4.0,Test
000325.jpg,Rice,vegetarian,middle_eastern,middle_eastern,stuffed_pitta,home,"pitta,roasted_vegetables,falafel,mayo,lemon_and_herb_peri_sauce,mujadara",healthy,4.0,strongly_like,5.0,Train
000328.jpg,Chips,non_vegetarian,american,american,double_cheeseburger_saver_meal,mcdonalds,"cheese,tomato_ketchup,mustard,onion,dill_pickle_slice,beef_patty,lettuce,bun,fries,coke",unhealthy,2.0,dislike,2.0,Train
000330.jpg,Chips,non_vegetarian,american,american,kfc_chicken,kentucky_fried_chicken,"chicken,potato,batter,gravy,",very_unhealthy,1.0,like,4.0,Train
000331.jpg,Chips,vegetarian,indian,indian,veg_biyani,home,rice,,,,,Train
000333.jpg,Chips,non_vegetarian,england,british,chicken_jalfrezi_with_pilau_rice,restaurant,"olive_oil,chicken_breast,rice,spicy_curry,onion,tomato,green_pepper,sauce,water",unhealthy,2.0,dislike,2.0,Test
000336.jpg,Chips,vegetarian,norwegian,norwegian,king_crab,restaurant,"french_fries,king_crab,shrimp,lettuce,seaweed",healthy,4.0,like,4.0,Test
000348.jpg,Rice,vegan,canadian,canadian,maple_syrup_granola,restaurant,"maple_syrup,rice,almonds,grains",very_healthy,5.0,like,4.0,Test
000349.jpg,Rice,vegetarian,indian,indian,lentil-based_vegetable_stew(_sambar)_with__rice,home,"ingredients:
for_sambar:
1/2_cup_toor_dal_(split_pigeon_peas)
1_small_lemon-sized_tamarind_ball
2_cups_mixed_vegetables_(e.g.,drumsticks,carrots,beans,eggplant,and_pumpkin),chopped
1_small_onion,chopped
2_ripe_tomatoes,chopped
1/2_cup_sambar_onions_(small_shallots),peeled_(optional)
2-3_green_chilies,slit
1_teaspoon_sambar_powder_(adjust_to_taste)
1/2_teaspoon_turmeric_powder
1_teaspoon_red_chili_powder_(adjust_to_taste)
1/2_teaspoon_fenugreek_seeds
1/2_teaspoon_mustard_seeds
a_pinch_of_asafoetida_(hing)
a_few_curry_leaves
2_tablespoons_cooking_oil
salt_to_taste
fresh_coriander_leaves_for_garnish
for_the_rice:
1_cup_long-grain_rice_(basmati_or_any_variety_you_prefer)
2_cups_water",very_healthy,5.0,like,4.0,Train
000350.jpg,Chips,vegetarian,british,british,fish_and_chips,tcr_bar,"cod,beer,flour,tartare_sauce,peas,oil",neutral,3.0,strongly_like,5.0,Train
000353.jpg,Chips,non_vegetarian,british,british,chicken_gyro,restaurant,"fried,flat_bread,garlic_sauce,chilli_sauce,red_cabbage",neutral,3.0,neutral,3.0,Train
000354.jpg,Chips,non_vegetarian,british,british,beef_burger_with_fries,restaurant,"french_fries,bread,beef",unhealthy,2.0,like,4.0,Train
000361.jpg,Rice,non_vegetarian,pakistani,pakistani,rice_and_chicken_curry,home,"rice,chicken_drumsticks,curry_sauce,peas",healthy,4.0,neutral,3.0,Train
000362.jpg,Rice,vegetarian,indian,indian,rice_&_chapati_with_cauliflower_&_dal,home,"rice,wheat_flour,cauliflower,yellow_pigeon_peas",healthy,4.0,like,4.0,Test
000363.jpg,Rice,vegetarian,indian,indian,full_indian_dish,home,"okra,red_chiili,garlic,masala,potatoes,coriander,green_chilli,bell_peppers,rice,green_gram_beans,lemon,curry_leaves,flour,yogurt",very_healthy,5.0,strongly_like,5.0,Test
000364.jpg,Rice,non_vegetarian,american,american,chicken_wings_and_chips,chicken_world,"corn_flour,potato,baking_soda,chicken,oil,pepper,potato",very_unhealthy,1.0,like,4.0,Train
000367.jpg,Rice,non_vegetarian,chinese,chinese,chicken_fried_rice,anjappar_restaurant,"chicken,rice,cabbage,chat_masala,capsicum,pepper,vegetable_oil",neutral,3.0,like,4.0,Train
000368.jpg,Rice,non_vegetarian,chinese,chinese,chicken_fried_rice_and_chilli_chicken,home,"rice,peas,egg,chicken,spring_onions,carrots,soya_sauce,green_chilli,corriander,oil,onion,cabbage",unhealthy,2.0,strongly_like,5.0,Train
000370.jpg,Rice,vegetarian,japanese,japanese,luncheon_meat_reverse_sushi_roll,home,"luncheon_meat,rice,nori,cucumber,carrot,avocado",very_healthy,5.0,like,4.0,Train
000376.jpg,Chips,non_vegetarian,american,american,burger_and_fries,restaurant,"brioche_bun,chicken_breast,bbq_sauce,cheese,onions,pickles,french_fries,ranch_sauce",very_unhealthy,1.0,like,4.0,Train
000379.jpg,Rice,non_vegetarian,indian,indian,chicken_biriyani,home,"boiled_rice,chicken,onion,green_chilli,garam_masala,garlic,ginger,turmeric_powder,chilli_powder,salt,pepper,cardamom,clove,coconut_oil",healthy,4.0,strongly_like,5.0,Test
000388.jpg,Rice,vegetarian,indian,indian,"rice,deep-fried_bread_with_cauliflower_potato_curry,plain_lentil_soup_and_salad",home,"rice,wheat_flour,cauliflower,potato,garam_masala,onions,tomato,green_chili,ginger_garlic_paste,mustard_oil,cumin_seeds,turmeric,coriander_powder,kashmiri_red_chili,salt,dried_fenugreek_leaf,water,carrot_and_cucumber,pigeon_peas,",neutral,3.0,like,4.0,Train
000390.jpg,Rice,vegetarian,indo-chinese,indo_chinese,fried_rice,restaurant,"rice,capsicum,onion,cabbage,soy_sauce,ketchup,salt,pepper,ginger,garlic,chilli,spring_onion",neutral,3.0,like,4.0,Train
000405.jpg,Rice,non_vegetarian,indian,indian,egg_rice,home,"egg,pepper,chilli_powder,salt,chilli,garam_masala,rice,onions,tomato",healthy,4.0,strongly_like,5.0,Train
000410.jpg,Rice,non_vegetarian,pakistani,pakistani,chicken_biryani,home,"onion,tomatoes,garlic,biryani_masala,salt,chili,garam_masala,chicken_rice",neutral,3.0,like,4.0,Train
000417.jpg,Rice,non_vegetarian,indian,indian,chicken_biryani,home,"onion,white_rice,chicken,whole_spices,oil,tomato,ginger_garlic_paste,green_chillis",neutral,3.0,strongly_like,5.0,Test
000422.jpg,Rice,non_vegetarian,indian,indian,chicken_briyani,home,"rice,chicken,spices,onion,curd,chilli,ginger,garlic,coriander,tomato,salt,cooking_oil",healthy,4.0,strongly_like,5.0,Test
000429.jpg,Rice,vegetarian,chinese,chinese,fried_rice,homemade,"cooked_rice,vegetables,cooking_oil,protein,eggs,soy_sauce,salt_and_pepper,chilli_sauce,oyster_sauce,mirin,sesame_seeds",healthy,4.0,like,4.0,Test
000432.jpg,Rice,non_vegetarian,persian,persian,istanbuli_with_shirazi_salad,home,"rice,potato,minced_meat,cucember,tomato_paste,onion,tomato",healthy,4.0,like,4.0,Train
000433.jpg,Rice,vegetarian,indian,indian,mushroom_curry,home,"mushroom,onions,tomato,oil,masalas",healthy,4.0,strongly_dislike,1.0,Train
000434.jpg,Chips,non_vegetarian,portuguese,portuguese,loaded_fries,restaurant,"chips,pulled_chicken,bbq_sauce,creamy_dressing,spring_onions,cheddar_cheese",neutral,3.0,like,4.0,Train
000437.jpg,Rice,non_vegetarian,indian,indian,chicken_tikka_rice,restaurant,"chicken,tikka_masala_and_rice",healthy,4.0,strongly_like,5.0,Test
000445.jpg,Chips,vegan,american,american,chips,home,"chips,salt",unhealthy,2.0,like,4.0,Train
000448.jpg,Rice,non_vegetarian,indian,indian,chicken_biryani,home,"chicken_thigh,rice,coriander,black_pepper,bay_leaf,cardamom,cinnamon_stick,green_chillies,onion,tomatoes,ginger-garlic_paste,oil,yogurt,whole_spices,salt,ground_spices,lemon,ghee",healthy,4.0,like,4.0,Test
000449.jpg,Rice,non_vegetarian,mediterranean,mediterranean,"rice,chicken_and_vegtables",home,"rice,turmeric,chicken_leg,salt,garlic_powder,onion_powder,smoked_paprika,black_pepper_olive_oil,potato,basil,carrots,zucchini",healthy,4.0,like,4.0,Train
000460.jpg,Rice,non_vegetarian,british,british,chicken_and_rice,home,"chicken,avocado,peri-peri_rice,mixed_herbs,",healthy,4.0,like,4.0,Train
000461.jpg,Rice,non_vegetarian,indian,indian,chicken_biriyani_with_raita,home,"garam_masala,chili_powder,turmeric,curry_powder,star_anise,cardamon,cloves,cinnamon_stick,oil,chicken,water,rice,tomato,onion,yogurt,cucumber",unhealthy,2.0,strongly_like,5.0,Train
000466.jpg,Rice,vegetarian,indian_mix_match,indian_mix_match,chappati_with_fried_rice_and_white_sause_pasta,resturant,"wheat_flour,water,olive_oil,rice,vegetables,onion_tomato,coriander_leaf,pasta,cheese,milk,turmeric_powder,mix_spices,oregano,chilli_flakes,salt",healthy,4.0,like,4.0,Test
000467.jpg,Rice,vegetarian,indian,indian,paneer_fried_rice,home,"rice,paneer,capsicum,onion,spices,salt,oil",healthy,4.0,strongly_like,5.0,Train
000468.jpg,Rice,non_vegetarian,south_asian,south_asian,"chicken_leg,rice_and_kebab",home,"rice,onion,vegetable_oil,salt",healthy,4.0,strongly_like,5.0,Train
000469.jpg,Rice,vegetarian,indian,indian,lemon_rice,home,"rice,lemon,chillies,spices,salt",very_healthy,5.0,strongly_like,5.0,Train
000470.jpg,Rice,non_vegetarian,indian,indian,chicken_curry_and_rice,home,"kolhapuri_red_chilli_powder,oil,mustard,garlic,turmeric,salt,rice,bay_leaf,black_pepper,asafoetida,cardamom,cinnamon_cloves,coriander,star_anise,sesame_seeds",healthy,4.0,strongly_like,5.0,Train
000472.jpg,Rice,vegetarian,british,british,braised_pork_with_rice,restaurant,"rice,pork,cabbage,bean_sprouts",healthy,4.0,dislike,2.0,Train
000477.jpg,Rice,vegetarian,indian,indian,peas_pulao,home,"rice,green_chilli,oil,cumin_seeds,coriander,bay_leaves,peas,cloves,salt",healthy,4.0,like,4.0,Train
000478.jpg,Rice,non_vegetarian,bangladeshi,bangladeshi,chicken_jalfrezi_with_pilau_rice,home,"chicken,cumin,turmeric,ginger,garlic,sunflower_oil,tomatoes,onions,red_chilli_powder,salt,turmeric,bell_peppers,rice,chicken_stock,tomato_puree",unhealthy,2.0,like,4.0,Train
000480.jpg,Rice,non_vegetarian,south_asian,south_asian,wings_and_spicy_rice,home,"rice,onion,vegetable_oil,salt,pepper,bbq_sauce",healthy,4.0,strongly_like,5.0,Train
000485.jpg,Rice,vegan,indian,indian,poha,home,"flat_rice,onion,mustard_seed,tomato,green_chilli,salt,turmeric,red_chilli_powder,oil",healthy,4.0,strongly_like,5.0,Test
000488.jpg,Rice,non_vegetarian,indian,indian,south_indian_meal,ymca_indian_restaurant,"rice,chicken,curd,onions,pepper,horsegram,cabbage,carrot,tomato",healthy,4.0,strongly_like,5.0,Test
000492.jpg,Rice,vegetarian,indian,indian,paneer_rice_dish,home,"rice,cottage_cheese,onion,chilli,capsicum,mustard_seeds",neutral,3.0,strongly_like,5.0,Train
000493.jpg,Rice,non_vegetarian,pakistani,pakistani,chicken_curry_and_rice,kujawiak,"chicken,rice,oil,chilli_powder,salt,turmeric,tomato,yogurt",healthy,4.0,like,4.0,Test
000497.jpg,Rice,non_vegetarian,arab,arab,lamb_and_rice,home,"lamb_chunks,rice_and_potatos",healthy,4.0,neutral,3.0,Test
